bdj_minmaxscaler1_pn_m2.tflite;com.familyfit.google.baduanjin;tflite;IMAGE;;
bdj_minmaxscaler1_pn_m3.tflite;com.familyfit.google.baduanjin;tflite;IMAGE;;
bdj_minmaxscaler1_pn_m4.tflite;com.familyfit.google.baduanjin;tflite;IMAGE;;
bdj_minmaxscaler1_pn_m5.tflite;com.familyfit.google.baduanjin;tflite;IMAGE;;
bdj_minmaxscaler1_pn_m6.tflite;com.familyfit.google.baduanjin;tflite;IMAGE;;
bdj_minmaxscaler1_pn_m7.tflite;com.familyfit.google.baduanjin;tflite;IMAGE;;
bdj_minmaxscaler1_pn_m8.tflite;com.familyfit.google.baduanjin;tflite;IMAGE;;
best0-v1-rect.pb;com.droid8studio.sketch.photo;tensorflow;IMAGE;deepsketch/input;deepsketch/output
best0-v1-rect.pb;com.infixtools.sketchphotomaker.pencil.sketch;tensorflow;IMAGE;deepsketch/input;deepsketch/output
best0-v1-square.pb;com.droid8studio.sketch.photo;tensorflow;IMAGE;deepsketch/input;deepsketch/output
best0-v1-square.pb;com.infixtools.sketchphotomaker.pencil.sketch;tensorflow;IMAGE;deepsketch/input;deepsketch/output
best1-v2-rect.pb;com.droid8studio.sketch.photo;tensorflow;IMAGE;deepsketch/input;deepsketch/output
best1-v2-rect.pb;com.infixtools.sketchphotomaker.pencil.sketch;tensorflow;IMAGE;deepsketch/input;deepsketch/output
best1-v2-square.pb;com.droid8studio.sketch.photo;tensorflow;IMAGE;deepsketch/input;deepsketch/output
best1-v2-square.pb;com.infixtools.sketchphotomaker.pencil.sketch;tensorflow;IMAGE;deepsketch/input;deepsketch/output
best2-v3-rect.pb;com.droid8studio.sketch.photo;tensorflow;IMAGE;deepsketch/input;deepsketch/output
best2-v3-rect.pb;com.infixtools.sketchphotomaker.pencil.sketch;tensorflow;IMAGE;deepsketch/input;deepsketch/output
best2-v3-square.pb;com.droid8studio.sketch.photo;tensorflow;IMAGE;deepsketch/input;deepsketch/output
best2-v3-square.pb;com.infixtools.sketchphotomaker.pencil.sketch;tensorflow;IMAGE;deepsketch/input;deepsketch/output
best3-v4-rect.pb;com.droid8studio.sketch.photo;tensorflow;IMAGE;deepsketch/input;deepsketch/output
best3-v4-rect.pb;com.infixtools.sketchphotomaker.pencil.sketch;tensorflow;IMAGE;deepsketch/input;deepsketch/output
best3-v4-square.pb;com.droid8studio.sketch.photo;tensorflow;IMAGE;deepsketch/input;deepsketch/output
best3-v4-square.pb;com.infixtools.sketchphotomaker.pencil.sketch;tensorflow;IMAGE;deepsketch/input;deepsketch/output
bicentennial_print_400x300_025.tflite;ai.fritz.heartbeat_2019-04-25;tflite;IMAGE;;
bicentennial_print_512x512_025_coherent_optimized.pb;ai.fritz.heartbeat_2019-04-25;tensorflow;IMAGE;input_1;deprocess_stylized_image_1/mul
blur_graph_with_var.pb;com.shensz.teacher_10000071;tensorflow;IMAGE;;
blur.quantized.pb;com.shensz.teacher_10000071;tensorflow;IMAGE;;
choice_graph_with_var.pb;com.shensz.teacher_10000071;tensorflow;IMAGE;;
choice.quantized.pb;com.shensz.teacher_10000071;tensorflow;IMAGE;;
ckpt103_quant.tflite;com.fenbi.android.zenglish_41501000;tflite;IMAGE;;
classifier.v.16.1.2927.patch1.pb;ktech.sketchar;tensorflow;IMAGE;input_image;output/BiasAdd
classifier.v.16.1.2927.patch1.pb;ktech.sketchar;tensorflow;IMAGE;input_image;output/BiasAdd
classifier.v.16.1.2927.patch1.pb_new.pb;ktech.sketchar;tensorflow;IMAGE;;
classifier.v.16.1.2927.patch1.pb_new.pb;ktech.sketchar;tensorflow;IMAGE;;
cnn_mfcc_old.tflite;com.urbandroid.sleep_2019-07-19;tflite;IMAGE;;
cnn_mfcc_old.tflite;com.urbandroid.sleep_2019-08-30;tflite;IMAGE;;
CNN2_4outputs_JAN2017.pb;com.bruxlabsnore_2018-08-15;tensorflow;IMAGE;;
conv_actions_frozen.pb;machinelearning.tensorflow.speech_2017-09-26;tensorflow;IMAGE;decoded_sample_data:1=decoded_sample_data:0;labels_softmax
conv_actions_frozen.pb;org.tensorflow.detect_2017-10-09;tensorflow;IMAGE;decoded_sample_data:1=decoded_sample_data:0;labels_softmax
converted_model_1.tflite;a.zero.photoeditor.master_20000;tflite;IMAGE;;
converted_model_1.tflite;com.steam.photoeditor_2019-07-04;tflite;IMAGE;;
converted_model_v2_1.tflite;com.ghost.sibyl;tflite;IMAGE;;
converted_model_v2_1.tflite;com.iart.camera.photo_2019-07-10;tflite;IMAGE;;
converted_model_v2_1.tflite;com.iart.camera.photo_2019-07-10;tflite;IMAGE;;
converted_model_v2_1.tflite;com.iart.camera.photo_2019-09-12;tflite;IMAGE;;
converted_model_v2_1.tflite;com.picstudio.photoeditorplus;tflite;IMAGE;;
converted_model_v2_1.tflite;com.picstudio.photoeditorplus_2019-07-12;tflite;IMAGE;;
converted_model_v2_1.tflite;com.picstudio.photoeditorplus_2019-07-18;tflite;IMAGE;;
converted_model_v2_1.tflite;com.tq.master;tflite;IMAGE;;
converted_model_v2_1.tflite;faceapp.facemystery.learnmoreaboutyourself;tflite;IMAGE;;
converted_model.tflite;com.iart.camera.photo_2019-09-12;tflite;IMAGE;;
converted_model.tflite;com.picstudio.photoeditorplus;tflite;IMAGE;;
CropableClassifierV1.tflite;com.abbyy.mobile.textgrabber.full_258;tflite;IMAGE;;
data_autocut_cute_wallpapers_studio.pb;com.ezprt.hdrcamera;tensorflow;IMAGE;ImageTensor;SemanticPredictions
decoder_squeeze.pb;com.modiface.loreal.stylemyhair_2019-05-03;tensorflow;IMAGE;input_2;activation_5/Softmax
deepdog.pb;com.seefoodtechnologies.nothotdog_2017-06-23;tensorflow;IMAGE;input_1;2x
deeplabv3_257_mv_gpu.tflite;com.kaiqi.videoae_33;tflite;IMAGE;;
deeplabv3_257_mv_gpu.tflite;com.snapgify_33;tflite;IMAGE;;
deeplabv3_mnv2_pascal_trainval.tflite;wallpaper.transparent;tflite;IMAGE;;
detect.tflite;com.infocomltd.ugvassistant_2019-02-13;tflite;IMAGE;;
detect.tflite;com.infocomltd.ugvassistant_2019-08-05;tflite;IMAGE;;
detect.tflite;com.zenjoy.pipcollage;tflite;IMAGE;;
detect.tflite;kr.co.robin.android.tflite.objectdetector_2018-08-13;tflite;IMAGE;;
detector_v2_1.pb;ru.farpost.dromfilter_2019-07-11;tensorflow;IMAGE;sor-detector/input-image;focus_score
dh9uvyqf.pb;beauty.camera.photo.editor;tensorflow;IMAGE;input_1;deprocess_stylized_image_1/mul
dh9uvyqf.pb;com.Video_Mobile_VM.Barnamaj_Damj_Sowar;tensorflow;IMAGE;input_1;deprocess_stylized_image_1/mul
dnazi3sf.pb;beauty.camera.photo.editor;tensorflow;IMAGE;input_1;deprocess_stylized_image_1/mul
dnazi3sf.pb;com.Video_Mobile_VM.Barnamaj_Damj_Sowar;tensorflow;IMAGE;input_1;deprocess_stylized_image_1/mul
dra0lg9z.pb;beauty.camera.photo.editor;tensorflow;IMAGE;input_1;deprocess_stylized_image_1/mul
dra0lg9z.pb;com.Video_Mobile_VM.Barnamaj_Damj_Sowar;tensorflow;IMAGE;input_1;deprocess_stylized_image_1/mul
en_us.embedded.model.pb;com.google.android.tts_2019-05-29;tensorflow;IMAGE;;
